Company Name,Ticker,Optionable,Market Cap ,Avg Volume,Sector,Industry,Last Close,Beta,52 Week High,52 Week Low
El Paso Electric Company,EE,YES,2006.62,196770.16,Utilities,Utility - Electric Power,49.35,0.39,60.9,48.35
Guggenheim BRIC ETF,EEB,YES,88.34,21055.25,Finance,Financial - Investment Funds,37.58,1.26,41.99,31.06
"Euronet Worldwide, Inc.",EEFT,YES,3931.63,911713.81,Finance,Financial - Miscellaneous Services,76.35,1.5,99.98,71.24
iShares MSCI Emerging Markets ETF,EEM,YES,41685.7,63782440,Finance,Financial - Investment Funds,46.88,1,52.08,39.29
"Enbridge Energy Partners, L.P.",EEP,YES,3448.02,1430782.88,Oils-Energy,Oil and Gas - Production Pipeline - MLB,10.56,1.32,19.35,9.35
Enbridge Energy Management LLC,EEQ,YES,886.31,756339.88,Oils-Energy,Oil and Gas - Production Pipeline - MLB,9.87,1.32,17.12,8.6
iShares MSCI EAFE ETF,EFA,YES,79915.16,23695512,Finance,Financial - Investment Funds,70.96,0.95,75.25,61.97
Ellington Financial LLC,EFC,YES,467.88,69009.45,Finance,Financial - Mortgage & Related Services,14.88,0.31,16.99,14.12
"Electronics for Imaging, Inc.",EFII,YES,1308.38,485390.75,Computer and Technology,Computer - Peripheral Equipment,29.07,1.02,49.85,25.75
Enterprise Financial Services Corporation,EFSC,YES,1124.84,82691.7,Finance,Banks - Midwest,48.7,0.93,49.6,36.75
"Equifax, Inc.",EFX,YES,14369.22,829589.63,Business Services,Financial Transaction Services,119.62,0.94,146.26,92.98
"Eagle Bancorp, Inc.",EGBN,YES,2061.89,157982.59,Finance,Banks - Northeast,60.1,0.88,68.85,49.95
"Energy XXI Gulf Coast, Inc.",EGC,YES,194.69,419731,Oils-Energy,Oil and Gas - Exploration and Production - United States,5.85,3.48,28.49,3.49
8x8 Inc,EGHT,YES,1801.78,476079.84,Computer and Technology,Communication - Components,19.55,0.6,20.25,12.2
Entree Gold Inc,EGI,YES,68,56581.25,Basic Materials,Mining - Miscellaneous,0.3903,0.58,0.67,0.35
"Engility Holdings, Inc.",EGL,YES,990.82,100521,Aerospace,Aerospace - Defense,26.88,1.72,35.56,22.29
Eagle Bulk Shipping Inc.,EGLE,YES,375.91,246920.66,Transportation,Transportation - Shipping,5.34,2.26,5.55,4.28
Egalet Corporation,EGLT,YES,33.79,339606.91,Medical,Medical - Drugs,0.639,0.69,4.34,0.57
Energen Corporation,EGN,YES,6653.72,1250077.88,Oils-Energy,Oil and Gas - Exploration and Production - United States,68.31,1.41,68.31,46.77
Eldorado Gold Corporation,EGO,YES,754.31,14143214,Basic Materials,Mining - Gold,0.95,1.37,3.67,0.81
NIC Inc.,EGOV,YES,969.89,448737.34,Computer and Technology,Internet - Software,14.45,0.51,21.65,12.9
"EastGroup Properties, Inc.",EGP,YES,2958.01,192734.41,Finance,REIT and Equity Trust - Other,85.15,0.92,94.97,77.45
"Eagle Pharmaceuticals, Inc.",EGRX,YES,820.98,175651.66,Medical,Medical - Products,55.24,1.38,96.85,46.62
Vaalco Energy Inc,EGY,YES,55.92,112486.25,Oils-Energy,Oil and Gas - Exploration and Production - International,0.95,0.44,1.14,0.68
Encompass Health Corporation,EHC,YES,5674.4,578121.19,Medical,Medical - Outpatient and Home Healthcare,57.82,0.38,59,42.49
"eHealth, Inc.",EHTH,YES,292.59,99471.6,Finance,Insurance - Brokerage,15.45,1.7,27.9,10.89
Employers Holdings Inc,EIG,YES,1357.29,115637.55,Finance,Insurance - Accident and Health,41.5,1,50,38.8
"Endurance International Group Holdings, Inc.",EIGI,YES,1055.13,387997.34,Computer and Technology,Internet - Software and Services,7.45,1.81,9.45,7.15
Edison International,EIX,YES,20851.92,1979741.63,Utilities,Utility - Electric Power,64,0.13,82.64,58.07
The Estee Lauder Companies Inc.,EL,YES,54412.46,1697223,Consumer Staples,Cosmetics,147.95,0.64,153.11,85.18
e.l.f. Beauty Inc.,ELF,YES,809.84,317438.31,Consumer Staples,Cosmetics,17.32,1.1,29.08,17.32
"Endologix, Inc.",ELGX,YES,347.28,477387.41,Medical,Medical - Dental Supplies,4.135,0.32,7.59,3.79
"Ellie Mae, Inc.",ELLI,YES,3076.83,560818.94,Computer and Technology,Internet - Software and Services,89.73,0.53,113.99,80.86
Companhia Paranaense de Energia (COPEL),ELP,YES,2014.1,475569.66,Utilities,Utility - Electric Power,7.36,1.38,9.83,6.8
"Equity Lifestyle Properties, Inc.",ELS,YES,7727.82,358369.66,Finance,REIT and Equity Trust - Residential,87.09,0.19,91.71,80.63
Callaway Golf Company,ELY,YES,1590.76,944340,Consumer Discretionary,Leisure and Recreation Products,16.81,1.03,17.71,11.65
eMagin Corporation,EMAN,YES,66.42,46160.5,Computer and Technology,Electronics - Semiconductors,1.475,0.34,2.8,1.3
iShares J.P. Morgan USD Emerging Markets Bond ETF,EMB,YES,11830.9,2097267.75,Finance,Financial - Investment Funds,110.88,0.25,117.26,110.88
EMC Insurance Group Inc.,EMCI,YES,563.39,15159.25,Finance,Insurance - Property and Casualty,26.15,0.93,31.06,26.1
"EMCOR Group, Inc.",EME,YES,4709.18,345867.25,Construction,Building Products - Heavy Construction,80.57,0.92,84.14,62.45
Emerge Energy Services LP,EMES,YES,217.66,309259.69,Oils-Energy,Oil and Gas - Field Services,7.02,1.9,13.66,5.79
EMCORE Corporation,EMKR,YES,127.84,170834,Computer and Technology,Electronics - Manufacturing Machinery,4.7,0.32,11.7,4.65
Emmis Communications Corporation,EMMS,YES,58.86,10490.75,Consumer Discretionary,Broadcast Radio and Television,4.61,0.33,4.8,2.48
Eastman Chemical Company,EMN,YES,15327.46,984692.5,Basic Materials,Chemical - Diversified ,107.21,1.21,110.84,77.25
Emerson Electric Co.,EMR,YES,44375.15,2993426.75,Industrial Products,Manufacturing - Electronics,69.9,1.18,74.05,57.44
Enbridge Inc,ENB,YES,52856.27,3234668.5,Oils-Energy,Oil and Gas - Production and Pipelines,31.01,0.63,42.37,29.91
"Enable Midstream Partners, LP",ENBL,YES,5926.37,196137.91,Oils-Energy,Oil and Gas - Production Pipeline - MLB,13.7,1.81,16.89,13.02
Endo International plc,ENDP,YES,1232.84,4227535.5,Medical,Medical - Drugs,5.52,0.38,13.78,5.46
ENGlobal Corporation,ENG,YES,23.66,13061.05,Construction,Engineering - R and D Services,0.86,1.06,1.76,0.74
Enersis Americas S.A.,ENIA,YES,13294.54,911634.63,Utilities,Utility - Electric Power,11.57,0.67,11.99,9.15
Enersis Chile S.A.,ENIC,YES,6244.6,455271.06,Utilities,Utility - Electric Power,6.36,0.14,6.5,5.13
"EnLink Midstream, LLC",ENLC,YES,2713.25,549108.94,Oils-Energy,Oil and Gas - Refining and Marketing,15,2.47,19.75,13.85
"EnLink Midstream Partners, LP",ENLK,YES,4994.83,806023.81,Oils-Energy,Oil and Gas - Production Pipeline - MLB,14.27,2.13,18.89,13.04
"Enphase Energy, Inc.",ENPH,YES,475.31,1760930.75,Oils-Energy,Solar,4.96,0.37,5.08,0.7
"Energizer Holdings, Inc.",ENR,YES,3433.12,748661.38,Consumer Staples,Consumer Products - Staples,57.52,0.82,59.82,41.14
Enersys,ENS,YES,2952.56,144870.2,Industrial Products,Manufacturing - Electronics,70.45,1.47,83.96,61.45
"The Ensign Group, Inc.",ENSG,YES,1463.32,188946.2,Medical,Medical - Nursing Homes,28.07,0.61,28.49,17.95
Global Eagle Entertainment Inc.,ENT,YES,108.05,679220.56,Computer and Technology,Internet - Content,1.19,1.69,3.72,1.08
"Enanta Pharmaceuticals, Inc.",ENTA,YES,1684.99,145114.55,Medical,Medical - Drugs,87.94,1.07,92.15,29.74
"Entegris, Inc.",ENTG,YES,4758.97,1037049.81,Computer and Technology,Electronics - Manufacturing Machinery,33.55,1.4,37.85,21.95
"Envestnet, Inc",ENV,YES,2455.39,213428.8,Business Services,Financial Transaction Services,54.9,1.76,59.75,34.1
"Enova International, Inc.",ENVA,YES,755.41,179252.2,Finance,Financial - Consumer Loans,22.45,2.85,23.4,11.25
"Enzo Biochem, Inc.",ENZ,YES,283.9,205743.34,Medical,Medical - Biomedical and Genetics,6.05,1.04,11.79,5.43
Empresa Nacional de Electricidad S.A.,EOCC,YES,6446.58,171866.95,Utilities,Utility - Electric Power,23.58,0.84,29.04,22.43
"EOG Resources, Inc.",EOG,YES,66450.6,3948324,Oils-Energy,Oil and Gas - Exploration and Production - United States,114.84,1.05,118.47,83.15
"EPAM Systems, Inc.",EPAM,YES,6145.19,253055.66,Computer and Technology,Computers - IT Services,115.86,0.92,124.9,76.83
"Bottomline Technologies, Inc.",EPAY,YES,1632.51,326605.91,Computer and Technology,Computer - Software,40.13,0.98,40.57,22.42
"Energizer Holdings, Inc.",EPC,YES,2298.14,659060.81,Consumer Staples,Consumer Products - Staples,42.56,0.77,77.31,42.56
Enterprise Products Partners L.P.,EPD,YES,58716.95,5945805,Oils-Energy,Oil and Gas - Production Pipeline - MLB,27.17,0.84,29.4,23.89
EP Energy Corporation,EPE,YES,470.58,866867.63,Oils-Energy,Oil and Gas - Exploration and Production - United States,1.87,3.92,4.92,1.27
"Evolution Petroleum Corporation, Inc.",EPM,YES,278.64,89858.1,Oils-Energy,Oil and Gas - Exploration and Production - United States,8.4,0.68,8.6,6.45
iShares MSCI Pacific ex Japan ETF,EPP,YES,3218.59,432981.16,Finance,Financial - Investment Funds,46.85,1.03,50.31,43.78
EPR Properties,EPR,YES,3941.77,510988.91,Finance,REIT and Equity Trust - Retail,53.04,0.45,75.53,53.04
