Company Name,Ticker,Optionable,Market Cap ,Avg Volume,Sector,Industry,Last Close,Beta,52 Week High,52 Week Low
"Agilent Technologies, Inc.",A,YES,21950.94,2423837.25,Computer and Technology,Electronics - Testing Equipment,68.07,1.31,74.82,53.27
Alcoa Corp.,AA,YES,9662.51,5322009,Industrial Products,Metal Products - Distribution,51.9,0.27,60.23,29.69
Advanced Accelerator Applications S.A.,AAAP,YES,3589.76,0,Medical,Medical - Drugs,81.63,0.69,82.32,35.54
Altaba Inc.,AABA,YES,61040.39,7313845,Finance,Financial - Investment Management,69.89,1.95,80.3,47.52
"AAC Holdings, Inc.",AAC,YES,264.79,77717.25,Medical,Medical - Outpatient and Home Healthcare,11.08,1.36,12.87,6.05
American Airlines Group Inc.,AAL,YES,22086.11,5254843,Transportation,Transportation - Airline,46.68,0.96,58.47,42.08
"Aaron's,  Inc.",AAN,YES,3168.18,596023.81,Retail-Wholesale,Retail - Consumer Electronics,45.21,0.05,48.89,30.71
"Applied Optoelectronics, Inc.",AAOI,YES,632.99,1300741.25,Computer and Technology,Electronics - Semiconductors,32.46,2.63,99.61,23.65
"AAON, Inc.",AAON,YES,1900.58,185190.41,Construction,Building Products - Air Conditioner and Heating,36.25,0.77,39.25,31.65
"Advance Auto Parts, Inc.",AAP,YES,7806.17,1060419.38,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,105.52,1.04,151.47,79.38
Apple Inc.,AAPL,YES,838429.94,30959958,Computer and Technology,Computer - Mini computers,165.24,1.25,181.72,142.27
"American Assets Trust, Inc.",AAT,YES,1531.79,305653.75,Finance,REIT and Equity Trust - Retail,32.45,0.41,44.18,31.72
Advantage Oil & Gas Ltd,AAV,YES,604.5,379020.56,Oils-Energy,Oil and Gas - Drilling,3.25,0.64,7.3,2.75
Atlas Air Worldwide Holdings,AAWW,YES,1627.01,190535.8,Transportation,Transportation - Air Freight and Cargo,63.65,1.24,68.25,46.05
"Axon Enterprise, Inc",AAXN,YES,2278.34,843913.81,Industrial Products,Security and Safety Services,42.74,0.78,43.1,21.12
AllianceBernstein Holding L.P.,AB,YES,2532.13,262580.31,Finance,Financial - Investment Management,26.25,1.46,27.85,20.6
"Abaxis,Inc.",ABAX,YES,1645.83,109321.9,Medical,Medical - Products,72.51,1.16,76,43.82
ABB Ltd,ABB,YES,51668.72,2754964,Industrial Products,Manufacturing - Electronics,24.16,1.16,28.6,22.28
AbbVie Inc.,ABBV,YES,147951.44,6559389.5,Medical,Large Cap Pharmaceuticals,93.17,1.61,123.21,63.82
AmerisourceBergen Corporation,ABC,YES,19932.77,1619018.75,Medical,Medical - Dental Supplies,90.74,1.06,105.48,73.23
Ameris Bancorp,ABCB,YES,1996.66,205593.05,Finance,Banks - Southeast,52.1,1.21,58.1,41.4
Alcentra Capital Corp.,ABDC,YES,93.05,73676.8,Finance,Financial - SBIC & Commercial Industry,6.55,0.57,14.49,6.11
Abeona Therapeutics Inc.,ABEO,YES,944.54,1125233.75,Medical,Medical - Biomedical and Genetics,20,1.29,20.9,4.7
Ambev S.A.,ABEV,YES,105982.44,21594068,Consumer Staples,Beverages - Alcohol,6.75,0.59,7.39,5.34
"Asbury Automotive Group, Inc.",ABG,YES,1414.78,159545.34,Retail-Wholesale,Automotive - Retail and Whole Sales,67.65,1.55,75.85,50.15
ABM Industries Incorporated,ABM,YES,2094.66,657940.56,Business Services,Building Products - Maintenance Service,31.95,0.83,44.79,31.75
"ABIOMED, Inc.",ABMD,YES,13400.68,384454.69,Medical,Medical - Instruments,302.65,0.17,307.63,125.03
Arbor Realty Trust,ABR,YES,537.61,369804.94,Finance,REIT and Equity Trust - Other,8.71,0.29,8.88,7.93
Abbott Laboratories,ABT,YES,102754.29,6318263,Medical,Medical - Products,58.84,1.5,63.62,42.98
Arbutus Biopharma Corporation,ABUS,YES,300.13,144259.16,Medical,Medical - Biomedical and Genetics,5.45,1.06,7.7,3.3
ACADIA Pharmaceuticals Inc.,ACAD,YES,2484.06,3542566.75,Medical,Medical - Biomedical and Genetics,19.92,3.43,39.14,16.5
American Campus Communities Inc,ACC,YES,5182.72,717432.38,Finance,REIT and Equity Trust - Residential,37.97,0.19,49.6,34.8
Acco Brands Corporation,ACCO,YES,1362,485460.41,Industrial Products,Office Supplies,12.8,1.28,14.7,10.55
Aceto Corporation,ACET,YES,70.14,1011121.31,Medical,Medical - Dental Supplies,2.28,1.59,17.08,2.28
Arch Capital Group Ltd.,ACGL,YES,11089.33,615154.63,Finance,Insurance - Property and Casualty,81.12,0.61,102.38,78.77
Aluminum Corporation of China Limited,ACH,YES,8519.01,120935.8,Basic Materials,Mining - Non Ferrous,14.29,0.23,23.45,11.17
"Acadia Healthcare Company, Inc.",ACHC,YES,3333.19,850130.19,Medical,Medical - Hospital,37.76,0.63,53,27.79
"Achillion Pharmaceuticals, Inc.",ACHN,YES,502.17,995231.19,Medical,Medical - Biomedical and Genetics,3.63,0.89,5.15,2.65
"Acacia Communications, Inc.",ACIA,YES,1103.34,1503549.5,Computer and Technology,Communication - Components,27.54,0.88,54.13,25.57
"ACI Worldwide, Inc.",ACIW,YES,2830.4,453059.25,Computer and Technology,Computer - Software,24.42,1.13,26.14,20.71
"Axcelis Technologies, Inc.",ACLS,YES,723.02,269043.06,Computer and Technology,Electronics - Manufacturing Machinery,22.5,1.02,36.63,18.6
AECOM,ACM,YES,5742.82,508193.5,Construction,Engineering - R and D Services,36.08,1.65,39.62,30.47
Accenture PLC,ACN,YES,97222.95,2183346.5,Business Services,Consulting Services,153.04,1.04,164.74,118.69
"Acorda Therapeutics, Inc.",ACOR,YES,1095.44,287434.09,Medical,Medical - Biomedical and Genetics,23.35,1.59,28.65,13.8
Ares Commercial Real Estate Corporation,ACRE,YES,348.62,75197.7,Finance,REIT and Equity Trust,12.19,0.6,14.09,12.07
"Aclaris Therapeutics, Inc.",ACRS,YES,546.65,227882.84,Medical,Medical - Drugs,17.69,1.63,30.22,16.46
"AcelRx Pharmaceuticals, Inc.",ACRX,YES,117.07,341311.25,Medical,Medical - Drugs,2.3,2.42,5.5,1.7
"American Capital Senior Floating, Ltd.",ACSF,YES,111.5,27468.5,Finance,Financial - Investment Funds,11.15,1.1,13.6,10.4
Acacia Research Corporation,ACTG,YES,184.87,232262.25,Business Services,Business - Services,3.65,0.99,5.45,2.9
iShares MSCI ACWI ETF,ACWI,YES,8451.65,2020591.38,Finance,Financial - Investment Funds,72.36,0.98,77.54,63.02
Acxiom Corporation,ACXM,YES,2009.96,1929690.63,Computer and Technology,Computers - IT Services,25.55,1.24,32.34,21.64
Adaptimmune Therapeutics PLC,ADAP,YES,1151.45,575620.5,Medical,Medical - Biomedical and Genetics,12.29,1.19,12.47,4.4
Adobe Systems Incorporated,ADBE,YES,110953.56,2903506.5,Computer and Technology,Computer - Software,225.3,1.04,231.16,131.52
Agree Realty Corporation,ADC,YES,1388.3,223512.05,Finance,REIT and Equity Trust - Retail,47.72,0.39,52.69,44.27
"Analog Devices, Inc.",ADI,YES,32542.72,2513311.25,Computer and Technology,Semiconductor - Analog and Mixed,88,1.22,97.24,75.51
Archer Daniels Midland Company,ADM,YES,25421.6,3714959.5,Consumer Staples,Agriculture - Operations,45.49,1.02,45.79,38.96
Adamis Pharmaceuticals Corporation,ADMP,YES,125.21,380691.09,Medical,Medical - Drugs,3.75,0.32,5.75,2.55
"Adamas Pharmaceuticals, Inc.",ADMS,YES,754.09,670457.63,Medical,Medical - Generic Drugs,28.13,1.59,42.65,13.68
"Automatic Data Processing, Inc.",ADP,YES,51906.88,2737181.25,Business Services,Outsourcing,117.1,0.88,123.63,96.46
"Aduro Biotech, Inc.",ADRO,YES,545.71,506715.25,Medical,Medical - Biomedical and Genetics,6.95,2.07,13.95,6
Alliance Data Systems Corporation,ADS,YES,11525.96,858000.19,Business Services,Financial Transaction Services,207.79,1.76,276.37,205.75
"Autodesk, Inc.",ADSK,YES,28203.6,2080472.38,Computer and Technology,Computer - Software,129.18,1.71,139.36,88.58
Advanced Disposal Services Inc.,ADSW,YES,1994.1,324126.84,Business Services,Waste Removal Services,22.53,0.57,25.55,21.51
"ADTRAN, Inc.",ADTN,YES,692.21,486080.5,Computer and Technology,Communication - Infrastructure,14.45,0.62,24.5,14.45
"Adverum Biotechnologies, Inc.",ADVM,YES,373.4,572227.63,Medical,Medical - Biomedical and Genetics,6,3.65,7.95,2.45
"Advaxis, Inc.",ADXS,YES,84.75,563509.13,Medical,Medical - Biomedical and Genetics,1.62,1.19,9.16,1.59
Ameren Corporation,AEE,YES,13740.41,1595257.38,Utilities,Utility - Electric Power,56.63,0.26,64.54,52.59
Aegon NV,AEG,YES,15116.4,1344170.75,Finance,Insurance - Multi line,7.41,1.4,7.41,4.84
Aegion Corporation,AEGN,YES,782.24,134857.8,Construction,Building Products - Miscellaneous,24,1.7,27.88,19.23
"Advanced Energy Industries, Inc.",AEIS,YES,2450.04,431848.19,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,61.72,1.31,94.25,60.54
American Equity Investment Life Holding Company,AEL,YES,2777.3,400777.06,Finance,Insurance - Life Insurance,30.9,2.45,35.5,23.31
"American Eagle Outfitters, Inc.",AEO,YES,3666.73,3661476.75,Retail-Wholesale,Retail - Apparel and Shoes,20.68,1.03,21.77,10.62
"American Electric Power Company, Inc.",AEP,YES,33672.86,2168096,Utilities,Utility - Electric Power,68.44,0.17,77.63,63.38
Aercap Holdings N.V.,AER,YES,8327.44,936047.31,Finance,Financial - Leasing Companies,52.7,1.81,55.04,43.45
"Aerie Pharmaceuticals, Inc.",AERI,YES,2162.24,259431.41,Medical,Medical - Drugs,54.75,0.95,65.1,38.3
The AES Corporation,AES,YES,7833.44,6746028,Utilities,Utility - Electric Power,11.86,1.17,11.95,10.06
Aetna Inc.,AET,YES,57901.52,2457013.5,Medical,Medical - HMOs,177.1,0.67,193.74,131.18
AEterna Zentaris Inc.,AEZS,YES,26.47,113068.05,Medical,Medical - Biomedical and Genetics,1.61,0.92,3.35,0.84
"American Financial Group, Inc.",AFG,YES,10147.76,291767.44,Finance,Insurance - Property and Casualty,114.76,0.78,120.49,95.54
"Atlas Financial Holdings, Inc.",AFH,YES,125.34,113172.8,Finance,Insurance - Property and Casualty,10.5,1.22,21.35,10.15
"Armstrong Flooring, Inc.",AFI,YES,343.15,92196.15,Construction,Building Products - Wood,13.33,2.27,19.98,13.03
Aflac Incorporated,AFL,YES,35305.28,3535317.25,Finance,Insurance - Accident and Health,45.3,0.95,45.85,36.72
Affimed N.V.,AFMD,YES,126.34,305652.81,Medical,Medical - Drugs,2.025,2.3,2.65,1.23
"AmTrust Financial Services, Inc.",AFSI,YES,2478.72,648963.88,Finance,Insurance - Property and Casualty,12.63,1.28,16.4,8.86
First Majestic Silver Corp.,AG,YES,1072.25,2376901.25,Basic Materials,Mining - Silver,6.47,0.2,9.22,5.14
AGCO Corporation,AGCO,YES,5277.67,628901.25,Industrial Products,Manufacturing - Farm Equipment,66.29,0.83,75.48,59.49
Agenus Inc.,AGEN,YES,367.15,1320142.75,Medical,Medical - Biomedical and Genetics,3.58,1.66,6.04,3.26
"AgroFresh Solutions, Inc.",AGFS,YES,362.77,133678.2,Basic Materials,Chemical - Specialty,7.22,0.81,8.69,5.1
Alamos Gold Inc.,AGI,YES,2094.86,1906796.63,Basic Materials,Mining - Gold,5.38,0.47,8.53,4.93
"Agios Pharmaceuticals, Inc.",AGIO,YES,4930.78,417731.5,Medical,Medical - Products,85.66,1.98,88.29,46.67
Federal Agricultural Mortgage Corporation,AGM,YES,964.36,38223.3,Finance,Financial - Mortgage & Related Services,90.84,1.17,90.84,54.77
Allergan plc,AGN,YES,55695.87,2480018.75,Medical,Medical - Generic Drugs,159.89,1.18,256.15,144.02
Assured Guaranty Ltd.,AGO,YES,4141.95,878924.19,Finance,Insurance - Multi line,35.93,1.31,45.38,33.01
"Avangrid, Inc.",AGR,YES,15780.9,485535.91,Utilities,Utility - Electric Power,51.07,0.18,53.07,43.27
Adecoagro S.A.,AGRO,YES,951.77,532922.75,Consumer Staples,Agriculture - Operations,7.84,1.12,11.62,7.33
"Agile Therapeutics, Inc.",AGRX,YES,92.81,87265.95,Medical,Medical - Generic Drugs,2.71,2.13,5.37,2.42
Applied Genetic Technologies Corporation,AGTC,YES,92.33,101914.15,Medical,Medical - Biomedical and Genetics,5.1,2.1,5.95,3.4
"Argan, Inc.",AGX,YES,583.08,324863.41,Construction,Building Products - Miscellaneous,37.5,0.9,72.05,36.8
"Agilysys, Inc.",AGYS,YES,286.29,33889.2,Computer and Technology,Computer - Integrated Systems,12.28,0.31,12.85,9.4
A.H. Belo Corporation,AHC,YES,123.99,20899.45,Consumer Staples,Publishing - Newspapers,5.7,0.47,6.25,4.35
"Alliance Holdings GP, L.P.",AHGP,YES,1375.05,97197.65,Oils-Energy,Coal,22.97,0.62,30.06,22.84
"Armada Hoffler Properties, Inc.",AHH,YES,593.97,238308.5,Finance,REIT and Equity Trust - Residential,13.17,0.49,15.85,12.73
Aspen Insurance Holdings Limited,AHL,YES,2607.94,811233.63,Finance,Insurance - Property and Casualty,43.85,0.36,53.8,35.05
"Ashford Hospitality Prime, Inc.",AHP,YES,333.41,281080.16,Finance,REIT and Equity Trust - Other,10.38,0.82,11.05,8.6
Ashford Hospitality Trust Inc,AHT,YES,691.98,445988.91,Finance,REIT and Equity Trust - Other,7.05,1.37,7.1,5.51
Arlington Asset Investment Corp,AI,YES,313.2,502725.69,Finance,Financial - Investment Bank,11.13,0.67,15,10.05
"American International Group, Inc.",AIG,YES,49798.23,4926656,Finance,Insurance - Multi line,55.18,1.25,66.06,53.12
Altra Industrial Motion Corp.,AIMC,YES,1310.5,137731.59,Industrial Products,Manufacturing - General Industrial ,44.6,1.64,53.35,37.8
Albany International Corporation,AIN,YES,2018.94,80766.6,Industrial Products,Textile - Products,62.7,1.58,67.3,45.4
Apollo Investment Corporation,AINV,YES,1167.06,824581.5,Finance,Financial - SBIC & Commercial Industry,5.39,0.91,6.8,5.2
AAR Corp.,AIR,YES,1558.31,254538,Aerospace,Aerospace - Defense Equipment,44.87,1.22,45.45,33.33
"Airgain, Inc.",AIRG,YES,78.96,24479.8,Computer and Technology,Communication - Components,8.19,2.08,15.2,7.4
"Applied Industrial Technologies, Inc.",AIT,YES,2774.91,147381.5,Industrial Products,Manufacturing - General Industrial ,71.75,0.92,75.1,54.15
Apartment Investment and Management Company,AIV,YES,6190.95,969349.13,Finance,REIT and Equity Trust - Residential,39.35,0.41,46.45,38
"Assurant, Inc.",AIZ,YES,4898.58,503885.84,Finance,Insurance - Multi line,93.35,0.55,106.27,85.16
Arthur J. Gallagher & Co.,AJG,YES,12748.8,876092.81,Finance,Insurance - Brokerage,70.27,1.13,72.63,54.73
"Aerojet Rocketdyne Holdings, Inc.",AJRD,YES,2280.04,542605.69,Aerospace,Aerospace - Defense Equipment,30.36,1.03,35.73,20.29
"Akamai Technologies, Inc.",AKAM,YES,12182.31,1332960.88,Computer and Technology,Internet - Services,71.67,0.67,76.07,44.91
"Achaogen, Inc.",AKAO,YES,585.43,1201264.5,Medical,Medical - Drugs,13.07,1.04,26.08,10.22
"Akebia Therapeutics, Inc.",AKBA,YES,518.48,544391.88,Medical,Medical - Drugs,9.24,1.09,19.67,9.1
Asanko Gold Inc.,AKG,YES,261.93,1212223.5,Basic Materials,Mining - Gold,1.16,0.27,2.48,0.45
Acadia Realty Trust,AKR,YES,1887.39,686848.56,Finance,REIT and Equity Trust - Retail,22.54,0.41,31.42,21.91
"Akorn, Inc.",AKRX,YES,1634.62,2005360.25,Medical,Medical - Generic Drugs,13.05,1.69,33.7,13.05
AK Steel Holding Corporation,AKS,YES,1475.53,11168728,Basic Materials,Steel - Producers,4.68,2.89,7.12,4.14
Air Lease Corporation,AL,YES,4430.86,593028.06,Transportation,Transportation - Equipment and Leasing,42.76,1.7,50.34,34.91
Albemarle Corporation,ALB,YES,10769.54,1618606.63,Basic Materials,Chemical - Diversified ,97.34,1.66,144.58,88.96
"Alder BioPharmaceuticals, Inc.",ALDR,YES,926.08,1035660.81,Medical,Medical - Biomedical and Genetics,13.65,2.54,22.15,8.75
"Aldeyra Therapeutics, Inc.",ALDX,YES,140.6,66609.4,Medical,Medical - Drugs,7.15,0.56,10.8,3.9
"Allete, Inc.",ALE,YES,3767.75,258058.75,Utilities,Utility - Electric Power,73.67,0.32,80.5,67.19
"Alexander & Baldwin Holdings, Inc.",ALEX,YES,1620,278887.44,Finance,REIT and Equity Trust - Other,22.5,1.32,46.87,21.99
"Alamo Group, Inc.",ALG,YES,1358.61,44903,Industrial Products,Manufacturing - Farm Equipment,116.63,0.93,120.13,76.14
"Align Technology, Inc.",ALGN,YES,19811.59,910132.88,Medical,Medical - Dental Supplies,247.2,1.47,283.97,118.44
Allegiant Travel Company,ALGT,YES,2303.16,281568.16,Transportation,Transportation - Airline,143.35,0.07,179.6,115.15
"Alimera Sciences, Inc.",ALIM,YES,78.38,93805.6,Medical,Medical - Biomedical and Genetics,1.12,1.72,1.63,1.02
"Alaska Air Group, Inc.",ALK,YES,8500.29,2341452,Transportation,Transportation - Airline,69.11,0.75,94.63,57.75
Alkermes plc,ALKS,YES,7002.96,1819616.75,Medical,Medical - Biomedical and Genetics,45.18,1.82,67.26,42.18
The Allstate Corporation,ALL,YES,34953.11,1777801.63,Finance,Insurance - Property and Casualty,98.61,0.94,104.91,79.73
Allegion PLC,ALLE,YES,8025.47,604205.13,Industrial Products,Security and Safety Services,84.52,1.05,89.56,76.73
Allot Communications Ltd.,ALLT,YES,171.63,19889.8,Computer and Technology,Computer - Networking,5.11,0.58,6,4.66
Ally Financial Inc.,ALLY,YES,11999.69,2215793.5,Finance,Financial - Consumer Loans,27.6,1.38,30.83,18.22
"Alnylam Pharmaceuticals, Inc.",ALNY,YES,9602.43,1422847.75,Medical,Medical - Biomedical and Genetics,95.86,2.68,148.54,49.51
Analogic Corporation,ALOG,YES,1040.76,281710.19,Computer and Technology,Computer - Peripheral Equipment,83.25,0.62,96.05,67.45
"Alliqua BioMedical, Inc.",ALQA,YES,11.06,27477.45,Medical,Medical - Biomedical and Genetics,2.21,0.97,4.4,1.65
"Alarm.com Holdings, Inc.",ALRM,YES,1971.79,336565.09,Industrial Products,Security and Safety Services,41.77,1.13,49.28,31.69
"Alaska Communications Systems Group, Inc.",ALSK,YES,77.21,138325.55,Utilities,Wireline - Regional - Rural,1.47,0.02,2.88,1.47
"Allison Transmission Holdings, Inc.",ALSN,YES,5769.34,1304331.13,Auto-Tires-Trucks,Automotive - Original Equipment,41.19,1.19,45.33,33.2
"PharmAthene, Inc",ALT,YES,15.59,472866.91,Medical,Medical - Drugs,0.6999,1.82,7.91,0.7
"Autoliv, Inc.",ALV,YES,13078.11,530342.25,Auto-Tires-Trucks,Automotive - Original Equipment,150.37,1.28,153.23,98.62
"Alexion Pharmaceuticals, Inc.",ALXN,YES,23976.9,1822057.75,Medical,Medical - Biomedical and Genetics,107.83,1.13,146.69,97.7
Antero Midstream Partners LP,AM,YES,4935.07,570259.69,Oils-Energy,Oil and Gas - Production and Pipelines,26.4,1.79,35.13,24.32
"AMAG Pharmaceuticals, Inc.",AMAG,YES,671.55,721418.38,Medical,Medical - Biomedical and Genetics,19.7,0.09,24.65,12.3
"Applied Materials, Inc.",AMAT,YES,52723.47,12739709,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,50.18,1.63,61.61,39.79
"Ambarella, Inc.",AMBA,YES,1581.73,1138121.5,Computer and Technology,Electronics - Semiconductors,47.49,1.23,65.05,40.6
"Ambac Financial Group, Inc.",AMBC,YES,795.58,362041.09,Finance,Insurance - Property and Casualty,17.55,1.7,21.22,13.35
"Amber Road, Inc.",AMBR,YES,232.77,89003.3,Computer and Technology,Internet - Software,8.53,0.35,9.95,6.46
"AMC Entertainment Holdings, Inc.",AMC,YES,2191.48,1611312.25,Consumer Discretionary,Leisure and Recreation Services,17.15,0.86,31.2,11
AirMedia Group Inc,AMCN,YES,44.97,316210.84,Business Services,Advertising and Marketing,0.7159,0.79,2.83,0.72
AMC Networks Inc.,AMCX,YES,3206.78,532951.38,Consumer Discretionary,Broadcast Radio and Television,52.81,0.79,67.02,47.5
"Advanced Micro Devices, Inc.",AMD,YES,9730.08,46988104,Computer and Technology,Electronics - Semiconductors,10.04,2.86,14.76,9.53
"AMETEK, Inc.",AME,YES,17310.77,920742.38,Computer and Technology,Electronics - Testing Equipment,74.83,1.24,78.79,54.84
"Amedisys, Inc.",AMED,YES,2287.18,202714,Medical,Medical - Outpatient and Home Healthcare,67.3,0.65,67.3,46.45
"Affiliated Managers Group, Inc.",AMG,YES,9309.04,429481.94,Finance,Financial - Investment Management,170.82,1.51,215.76,149.51
Amgen Inc.,AMGN,YES,116720.13,3156705,Medical,Medical - Biomedical and Genetics,174.66,1.36,198,153.02
American Homes 4 Rent,AMH,YES,5640.55,1545452.25,Finance,REIT and Equity Trust - Residential,19.67,0.59,23.62,18.73
"American Midstream Partners, LP",AMID,YES,851.64,100934.9,Oils-Energy,Oil and Gas - Production and Pipelines,11.65,1.04,15.1,10.15
"Amkor Technology, Inc.",AMKR,YES,2287.2,716899.13,Computer and Technology,Electronics - Semiconductors,9.55,2.42,12.33,8.38
AMN Healthcare Services Inc,AMN,YES,3207.41,520925.44,Medical,Medical Services,67.3,0.42,67.3,35.4
"American National Bankshares, Inc.",AMNB,YES,339.19,8957.45,Finance,Banks - Southeast,39.1,0.66,42.8,34.85
"Allied Motion Technologies, Inc.",AMOT,YES,388.82,49735.9,Computer and Technology,Instruments - Control,41.25,1.81,42.46,21.61
"Ameriprise Financial, Inc.",AMP,YES,21289.87,968006.88,Finance,Financial - Investment Management,145.49,1.84,182.04,120.79
"Amphastar Pharmaceuticals, Inc.",AMPH,YES,900.83,127963.9,Medical,Medical - Generic Drugs,19.33,1.42,20.35,14.73
"Ameresco, Inc.",AMRC,YES,557.41,191755.45,Utilities,Electric Construction,12.25,0.75,13,6.25
Amarin Corporation PLC,AMRN,YES,824.34,2136835.25,Medical,Medical - Biomedical and Genetics,2.82,0.72,4.44,2.82
"Amyris, Inc.",AMRS,YES,324.51,539380.5,Basic Materials,Chemical - Specialty,6.53,0.13,8.36,2.02
American Superconductor Corporation,AMSC,YES,130.85,136777.84,Computer and Technology,Electronics - Miscellaneous Components,6.25,1.15,7.7,2.97
"AMERISAFE, Inc.",AMSF,YES,1081.62,88418.85,Finance,Insurance - Accident and Health,56.2,0.83,67.2,51.55
"American Software, Inc.",AMSWA,YES,393.14,53180.3,Computer and Technology,Computer - Software,12.93,0.72,13.35,9.13
American Tower Corporation (REIT),AMT,YES,60925.61,2451048.5,Finance,REIT and Equity Trust - Other,138.2,0.78,152.72,122.81
TD Ameritrade Holding Corporation,AMTD,YES,34723,2316904,Finance,Financial - Investment Bank,61.2,1.36,62.66,36.24
American Woodmark Corporation,AMWD,YES,1523.67,201487.59,Consumer Discretionary,Furniture,87.05,1.74,140.05,79.15
"America Movil, S.A.B. de C.V.",AMX,YES,62043.15,2612495.75,Computer and Technology,Wireless Non-US ,18.78,0.49,19.87,14.61
InfraCap MLP ETF,AMZA,YES,571.34,1036875,Finance,Financial - Investment Funds,7.42,1.75,10.67,6.71
"Amazon.com, Inc.",AMZN,YES,736116.19,6091153,Retail-Wholesale,Internet - Commerce,1517.86,1.59,1598.39,898.53
"AutoNation, Inc.",AN,YES,4223.02,691774.69,Retail-Wholesale,Automotive - Retail and Whole Sales,45.99,1.4,62,38.72
"AnaptysBio, Inc.",ANAB,YES,2217.89,564258.63,Medical,Medical - Biomedical and Genetics,93.15,3.26,128.55,19.29
American National Insurance Company,ANAT,YES,3295.91,65345.35,Finance,Insurance - Multi line,122.35,1.19,130.6,112.55
"The Andersons, Inc.",ANDE,YES,931.2,85939.4,Basic Materials,Agriculture - Products,32.7,1.17,37.95,29.85
Tesoro Corporation,ANDV,YES,18381.01,1719455.38,Oils-Energy,Oil and Gas - Refining and Marketing,119.54,1.39,121.13,77.89
Tesoro Logistics LP,ANDX,YES,10556.34,393854.19,Oils-Energy,Oil and Gas - Integrated - United States,48.61,1.25,55.5,42.33
"Arista Networks, Inc.",ANET,YES,18901.37,1046859,Computer and Technology,Communication - Components,254.18,1.5,307.96,136.66
Abercrombie & Fitch Company,ANF,YES,1822.4,2911380.75,Retail-Wholesale,Retail - Apparel and Shoes,26.76,0.9,28.64,8.89
"Angie's List, Inc.",ANGI,YES,872.21,546100.38,Computer and Technology,Internet - Services,13.83,1.34,15.65,5.88
"AngioDynamics, Inc.",ANGO,YES,732.41,330184.44,Medical,Medical - Instruments,19.9,1,20.63,15.08
Anworth Mortgage Asset  Corporation,ANH,YES,461.55,657863.38,Finance,REIT and Equity Trust,4.7,0,6.32,4.56
Anika Therapeutics Inc.,ANIK,YES,660.73,90283.05,Medical,Medical - Biomedical and Genetics,44.81,1.73,68.43,43.78
"ANI Pharmaceuticals, Inc.",ANIP,YES,688.66,66271.8,Medical,Medical - Biomedical and Genetics,58.72,2.91,74.56,43.45
"ANSYS, Inc.",ANSS,YES,13676.24,459831.84,Computer and Technology,Computer - Software,162.58,1.02,171.18,108
"Anthera Pharmaceuticals, Inc.",ANTH,YES,7.56,1273650.25,Medical,Medical - Biomedical and Genetics,0.323,2.76,3.31,0.31
"Anthem, Inc.",ANTM,YES,58100.02,1422211.13,Medical,Medical - HMOs,227.2,0.9,258.19,167.8
Aegean Marine Petroleum Network Inc.,ANW,YES,105.67,541491.69,Transportation,Transportation - Shipping,2.6,2.31,11.65,1.9
Aon plc,AON,YES,35395.83,821305.44,Finance,Insurance - Brokerage,143.78,1.03,152.38,118.43
A. O. Smith Corporation,AOS,YES,11131.06,916027.63,Industrial Products,Manufacturing - Electronics,64.9,1.52,67.84,51.37
Alpha and Omega Semiconductor Limited,AOSL,YES,361.97,105154.8,Computer and Technology,Electronics - Semiconductors,15.14,0.36,20.02,13.94
Ampco-Pittsburgh Corporation,AP,YES,133.5,38871,Industrial Products,Metal Products - Procurement and Fabrication,10.8,1.85,18.3,8.85
Apache Corporation,APA,YES,15841.53,5080293,Oils-Energy,Oil and Gas - Exploration and Production - United States,41.53,1.1,51.45,34.15
Artisan Partners Asset Management Inc.,APAM,YES,2513.85,309227,Finance,Financial - Investment Management,32.65,1.72,41.35,27.4
Anadarko Petroleum Corporation,APC,YES,35559.49,5344205.5,Oils-Energy,Oil and Gas - Exploration and Production - United States,66.78,1.27,66.78,40.52
"Air Products and Chemicals, Inc.",APD,YES,36368.01,779645.5,Basic Materials,Chemical - Diversified ,166.11,1.22,174,137.3
"American Public Education, Inc.",APEI,YES,673.19,168563.66,Consumer Discretionary,Schools,41.05,0.67,44.5,17.8
Amphenol Corporation,APH,YES,25782.83,1165077.63,Computer and Technology,Electronics - Connectors,84.4,0.83,93.13,70.47
"Apple Hospitality REIT, Inc.",APLE,YES,4109.15,1314475.75,Finance,REIT and Equity Trust - Other,17.85,0.65,20.12,16.85
"Archrock Partners, L.P.",APLP,YES,1057.77,142323.41,Oils-Energy,Oil and Gas - Production Pipeline - MLB,14.75,2,16.44,10.61
"Apollo Global Management, LLC",APO,YES,5822.38,944137.38,Finance,Financial - Investment Management,28.89,1.19,36.78,25.01
"Apogee Enterprises, Inc.",APOG,YES,1206.63,519245.44,Industrial Products,Glass Products,42.64,1.49,58.13,38.7
"Digital Turbine, Inc.",APPS,YES,129.25,991032.31,Computer and Technology,Internet - Software,1.72,1.36,2.51,0.94
"Alpha Pro Tech, Ltd.",APT,YES,46.44,7928.8,Industrial Products,Security and Safety Services,3.25,1.1,4.25,2.7
Apptio Inc.,APTI,YES,1289.1,417865.41,Computer and Technology,Internet - Software,30.25,0.04,30.51,12.71
