State,Prob,Pct_Move,Relative_Price
163,0.000208,-0.23347927933370405,0.766520720666296
164,0.0002076,-0.23231141825004764,0.7676885817499524
165,0.0002271,-0.23114355716639134,0.7688564428336087
166,0.0002307,-0.22997569608273505,0.770024303917265
167,0.0002411,-0.22880783499907864,0.7711921650009214
168,0.0002392,-0.22763997391542223,0.7723600260845778
169,0.0002466,-0.22647211283176594,0.7735278871682341
170,0.0002658,-0.22530425174810964,0.7746957482518904
171,0.0002769,-0.22413639066445334,0.7758636093355467
172,0.0002737,-0.22296852958079694,0.7770314704192031
173,0.0002894,-0.22180066849714053,0.7781993315028595
174,0.0003013,-0.22063280741348434,0.7793671925865157
175,0.0003086,-0.21946494632982794,0.7805350536701721
176,0.0003215,-0.21829708524617153,0.7817029147538285
177,0.0003351,-0.21712922416251523,0.7828707758374848
178,0.0003482,-0.21596136307885883,0.7840386369211412
179,0.0003634,-0.21479350199520253,0.7852064980047975
180,0.0003649,-0.21362564091154623,0.7863743590884538
181,0.0003787,-0.21245777982788983,0.7875422201721102
182,0.0003891,-0.21128991874423342,0.7887100812557666
183,0.0004125,-0.21012205766057712,0.7898779423394229
184,0.0004222,-0.20895419657692083,0.7910458034230792
185,0.0004299,-0.20778633549326442,0.7922136645067356
186,0.000436,-0.20661847440960812,0.7933815255903919
187,0.0004532,-0.20545061332595171,0.7945493866740483
188,0.0004828,-0.20428275224229553,0.7957172477577045
189,0.000487,-0.20311489115863912,0.7968851088413609
190,0.0005076,-0.20194703007498271,0.7980529699250173
191,0.0005234,-0.2007791689913263,0.7992208310086737
192,0.0005465,-0.19961130790767,0.80038869209233
193,0.0005547,-0.19844344682401371,0.8015565531759863
194,0.0005778,-0.19727558574035742,0.8027244142596426
195,0.0005845,-0.196107724656701,0.803892275343299
196,0.0006143,-0.1949398635730446,0.8050601364269554
197,0.0006205,-0.1937720024893882,0.8062279975106118
198,0.0006497,-0.192604141405732,0.807395858594268
199,0.0006662,-0.1914362803220756,0.8085637196779244
200,0.0006886,-0.1902684192384193,0.8097315807615807
201,0.0007154,-0.1891005581547629,0.8108994418452371
202,0.0007307,-0.1879326970711067,0.8120673029288933
203,0.0007527,-0.1867648359874503,0.8132351640125497
204,0.0007703,-0.1855969749037939,0.8144030250962061
205,0.0007883,-0.1844291138201375,0.8155708861798625
206,0.000827,-0.1832612527364812,0.8167387472635188
207,0.0008345,-0.1820933916528249,0.8179066083471751
208,0.000874,-0.1809255305691686,0.8190744694308314
209,0.0008799,-0.1797576694855122,0.8202423305144878
210,0.000901,-0.1785898084018558,0.8214101915981442
211,0.0009001,-0.1774219473181996,0.8225780526818004
212,0.0009506,-0.1762540862345432,0.8237459137654568
213,0.0009626,-0.1750862251508868,0.8249137748491132
214,0.0010026,-0.1739183640672305,0.8260816359327695
215,0.001026,-0.17275050298357408,0.8272494970164259
216,0.0010561,-0.1715826418999178,0.8284173581000822
217,0.0010646,-0.1704147808162615,0.8295852191837385
218,0.0010965,-0.16924691973260508,0.8307530802673949
219,0.0011103,-0.16807905864894868,0.8319209413510513
220,0.0011535,-0.1669111975652925,0.8330888024347075
221,0.0011824,-0.16574333648163608,0.8342566635183639
222,0.0012181,-0.16457547539797968,0.8354245246020203
223,0.0012368,-0.16340761431432338,0.8365923856856766
224,0.001279,-0.16223975323066697,0.837760246769333
225,0.0013197,-0.1610718921470108,0.8389281078529892
226,0.001304,-0.15990403106335438,0.8400959689366456
227,0.0013472,-0.15873616997969797,0.841263830020302
228,0.0014109,-0.15756830889604156,0.8424316911039584
229,0.0014116,-0.15640044781238527,0.8435995521876147
230,0.0014348,-0.15523258672872897,0.844767413271271
231,0.0014576,-0.15406472564507268,0.8459352743549273
232,0.0015246,-0.15289686456141627,0.8471031354385837
233,0.0015563,-0.15172900347775986,0.8482709965222401
234,0.0015654,-0.15056114239410368,0.8494388576058963
235,0.0016083,-0.14939328131044727,0.8506067186895527
236,0.0016459,-0.14822542022679086,0.8517745797732091
237,0.0016663,-0.14705755914313456,0.8529424408568654
238,0.0017143,-0.14588969805947816,0.8541103019405218
239,0.0017458,-0.14472183697582197,0.855278163024178
240,0.001749,-0.14355397589216556,0.8564460241078344
241,0.001814,-0.14238611480850916,0.8576138851914908
242,0.0018246,-0.14121825372485275,0.8587817462751473
243,0.001861,-0.14005039264119656,0.8599496073588034
244,0.0019115,-0.13888253155754016,0.8611174684424598
245,0.0019335,-0.13771467047388386,0.8622853295261161
246,0.0019786,-0.13654680939022745,0.8634531906097725
247,0.0020347,-0.13537894830657105,0.864621051693429
248,0.0020518,-0.13421108722291486,0.8657889127770851
249,0.0021032,-0.13304322613925845,0.8669567738607415
250,0.0020786,-0.13187536505560205,0.868124634944398
251,0.002153,-0.13070750397194575,0.8692924960280543
252,0.0021752,-0.12953964288828934,0.8704603571117107
253,0.0022055,-0.12837178180463304,0.871628218195367
254,0.0022551,-0.12720392072097675,0.8727960792790233
255,0.0023093,-0.12603605963732034,0.8739639403626797
256,0.0023295,-0.12486819855366393,0.8751318014463361
257,0.0023781,-0.12370033747000775,0.8762996625299923
258,0.0024228,-0.12253247638635134,0.8774675236136487
259,0.0024422,-0.12136461530269493,0.8786353846973051
260,0.0024941,-0.12019675421903864,0.8798032457809614
261,0.0025307,-0.11902889313538223,0.8809711068646178
262,0.0025603,-0.11786103205172604,0.882138967948274
263,0.0025877,-0.11669317096806964,0.8833068290319304
264,0.0026495,-0.11552530988441323,0.8844746901155868
265,0.0027035,-0.11435744880075693,0.8856425511992431
266,0.0026895,-0.11318958771710064,0.8868104122828994
267,0.0027544,-0.11202172663344423,0.8879782733665558
268,0.0028129,-0.11085386554978793,0.8891461344502121
269,0.0028235,-0.10968600446613153,0.8903139955338685
270,0.0028638,-0.10851814338247512,0.8914818566175249
271,0.0028816,-0.10735028229881893,0.8926497177011811
272,0.0029753,-0.10618242121516253,0.8938175787848375
273,0.0029576,-0.10501456013150612,0.8949854398684939
274,0.0030008,-0.10384669904784982,0.8961533009521502
275,0.0030429,-0.10267883796419353,0.8973211620358065
276,0.0030766,-0.10151097688053723,0.8984890231194628
277,0.0031424,-0.10034311579688082,0.8996568842031192
278,0.0031555,-0.09917525471322441,0.9008247452867756
279,0.0031918,-0.09800739362956801,0.901992606370432
280,0.0032485,-0.09683953254591171,0.9031604674540883
