Stock,Index,Beta,Corr
PRGO,XLV,1.0081797192749227,0.9706576672399532
UNH,XLV,1.002113549140374,0.9486118370549373
LLY,XLV,0.9829502451026072,0.9770435608822545
TMO,XLV,0.9717037180171935,0.9635403626437765
MOH,XLV,0.936264578508142,0.9445414038447246
BMY,XLV,0.9258553518651622,0.9531387944238584
MCK,XLV,0.9156131590527402,0.9215741305053287
CNC,XLV,0.8431930173675668,0.9017558692761433
CRL,XLV,0.8430377295026782,0.9637902617068956
NEOG,XLV,0.8194386419225685,0.9261494196178459
MRK,XLV,0.8026492415554529,0.9685147059985095
HOLX,XLV,0.7989104316249446,0.9485902864092962
WCG,XLV,0.7730618391655295,0.9139051224364215
MGLN,XLV,0.770620890896314,0.927230978425932
NVO,XLV,0.696711558320862,0.9409160455712039
AZN,XLV,0.6920300633776293,0.8751126045055333
CBPO,XLV,0.6380432340065413,0.8874184425356958
TARO,XLV,0.6321116282430485,0.8349515212107045
RDY,XLV,0.6004827894559028,0.9092547215210378
ASND,XLV,0.5259244121922806,0.6275901894479103
GSK,XLV,0.48468723007035813,0.8419899911496874
LIVN,XLV,0.4712291946992193,0.8003805599609071
USNA,XLV,0.31278312452450163,0.7207292733718459
